Id,ASCIIName,CountryNameEN,Population,Timezone
6918056e-4e35-4dce-ad2b-4edbc4ef176e,Shali,Russian Federation,25000,Europe
8568ea07-d7b6-4456-b513-2bea0f8b2067,Padam,India,25000,Asia
ca40d59b-5111-4e31-8680-702521fa09fd,Fallingbrook,Canada,25000,America
64868ae7-c246-41d5-9ce8-f27a1fa4cd42,Kabaty,Poland,25000,Europe
37f00691-86b7-4387-9385-45c9462f3910,Soledad,United States,25003,America
ee183752-2ebe-49cc-8585-0f963627363e,Dorset Park,Canada,25003,America
b32246a4-6852-4b6d-adff-82ef0edd568e,Nyuzen,Japan,25007,Asia
39f3db6b-1c8b-469e-a001-2670c4283898,Maplewood,United States,25008,America
f653d754-bb4e-4d9a-aa0b-7effd8ba5a30,Sandi,India,25008,Asia
f53dccb7-8fca-4993-94d0-b622541b4397,Encarnacion de Diaz,Mexico,25010,America
92e21b10-4f2c-48b9-8ad5-5642de0a86cd,Kriens,Switzerland,25010,Europe
bca4725b-b4a2-464f-95b2-4b551322c8e0,Lainate,Italy,25011,Europe
fc2255d9-f7b6-4845-aaac-1d5ad9d1d43f,Sucy-en-Brie,France,25014,Europe
3cf01edb-591c-40c4-b1d0-c2d275b2cc9b,Pak Phanang,Thailand,25014,Asia
bdcd1d42-120e-4363-80e1-9ccc56f364b7,Yonmu,Korea- Republic of,25015,Asia
ed251daf-d741-45d9-9a2e-b5e0d8c916a4,Yahyali,Turkey,25019,Europe
cada1ae5-445c-439d-bd4d-eb669e238593,Dakor,India,25019,Asia
884f9f7e-0ee4-4e99-a177-20c13c6cfb53,Katima Mulilo,Namibia,25027,Africa
b0638c3a-cc00-47e6-848c-fa2e53539482,Yangirabot,Uzbekistan,25027,Asia
7840b6bb-1d91-4320-b981-872f6f8c40ee,Batu Berendam,Malaysia,25028,Asia
f924102e-3dd4-4837-b2f2-ef6cfdcc8bd1,Mount Gambier,Australia,25030,Australia
98abdbb5-963c-4797-9e15-2f49121207ca,Karoi,Zimbabwe,25030,Africa
6f7e9f05-1f14-4fbf-aa73-d61b483d2d02,Bridgeton,United States,25031,America
14ce906b-ca59-4ac1-afdf-e5321556ffc7,Chandauli,India,25035,Asia
b18f6dae-eeae-4334-a56d-1000ecf812c6,Hattersheim,Germany,25035,Europe
ba4738de-cce5-4c40-a4c0-ae3b1f9b2bf9,Lady Frere,South Africa,25041,Africa
5291cf11-6fc3-4a34-8ce4-675f5e6ddf55,Mercer Island,United States,25042,America
8885c0d0-4cdd-4391-bfa7-3cbe56bd72d4,Vught,Netherlands,25043,Europe
e8dbd46b-8499-42e6-8cd3-94bf6e784563,Chengannur,India,25043,Asia
b43a08a4-9f4d-4aff-9c40-c4efe9717dc2,Athens,United States,25044,America
7bafa0fe-0bfd-4ce2-9024-57baf8cce9b7,Kanigiri,India,25045,Asia
ed0135df-d7f3-4ed4-a0b9-d11f717797f9,Ust'-Katav,Russian Federation,25046,Asia
16fec797-5a32-4229-9b99-e31fa5c4a7ad,Swakopmund,Namibia,25047,Africa
cd48403e-9e8f-4e5d-af67-c164130188c2,Santa Perpetua de Mogoda,Spain,25048,Europe
a0fca412-28d9-4b37-9b10-16902c64e9a3,Boysun,Uzbekistan,25050,Asia
fdbb7406-f459-4c44-96a6-8f64e2fa94a1,Stonegate-Queensway,Canada,25051,America
b9a0903f-5987-4cdc-994a-03c4b5d0452c,West Memphis,United States,25052,America
ad87fa53-71a4-41c2-9dd2-d42e045a2a81,Malakanagiri,India,25054,Asia
f9549497-c99e-411f-a081-6b8a8c596eb8,Milford,United States,25055,America
e650c5ad-0513-45f6-b2b5-daea028c9973,Rioja,Peru,25057,America
c77d9b21-48fc-428f-85a2-f05a33578e18,Afogados da Ingazeira,Brazil,25060,America
3ad3796f-eaa2-4bd9-9916-a7e1774c5a62,Moscow,United States,25060,America
3fed55dc-3b7e-4862-bdf3-3be40defbf68,Ishii,Japan,25062,Asia
aff2dc3e-7445-42f1-8b57-72de52a69956,Belluno,Italy,25064,Europe
f76a580a-65e2-4854-810a-25b8a6d1bf9c,Akyazi,Turkey,25068,Europe
17cb98bb-5caf-4497-a5d7-7ff9b65489ff,Campechuela,Cuba,25069,America
17802b0e-0e7f-49c7-9e8e-00c0d3cd3238,Farsan,Iran- Islamic Rep. of,25071,Asia
3b72c6b6-51c9-4a2c-b7d3-23f67093c8a2,Hannoversch Muenden,Germany,25073,Europe
e6b0f7f1-a1f4-4198-87e0-777a05c7b6af,Villaricca,Italy,25074,Europe
4e4a6f9f-cd21-4c2a-9046-c54d0abc057f,Rampachodavaram,India,25074,Asia
